Original,Code,Office
5 0230 LUKUSI,5 0230,LUKUSI
5 0242 LUMAKANDA,5 0242,LUMAKANDA
8 0402 LUNGA LUNGA,8 0402,LUNGA LUNGA
5 0119 LUNZA,5 0119,LUNZA
5 0220 LWAKHAKHA,5 0220,LWAKHAKHA
2 0147 MAAI MAHIU,2 0147,MAAI MAHIU
5 0235 MABUSI,5 0235,MABUSI
9 0100 MACHAKOS,9 0100,MACHAKOS
0 1002 MADARAKA,0 1002,MADARAKA
4 0613 MADIANY,4 0613,MADIANY
8 0207 MADINA,8 0207,MADINA
0 0205 MAGADI,0 0205,MAGADI
4 0516 MAGENA,4 0516,MAGENA
5 0325 MAGO,5 0325,MAGO
4 0507 MAGOMBO,4 0507,MAGOMBO
6 0403 MAGUMONI,6 0403,MAGUMONI
4 0307 MAGUNGA,4 0307,MAGUNGA
6 0407 MAGUTUNI,6 0407,MAGUTUNI
4 0508 MAGWAGWA,4 0508,MAGWAGWA
9 0138 MAKINDU,9 0138,MAKINDU
9 0300 MAKUENI,9 0300,MAKUENI
5 0209 MALAKISI,5 0209,MALAKISI
5 0103 MALAVA,5 0103,MALAVA
8 0200 MALINDI,8 0200,MALINDI
7 0300 MANDERA,7 0300,MANDERA
6 0101 MANYATTA,6 0101,MANYATTA
5 0300 MARAGOLI,5 0300,MARAGOLI
1 0205 MARAGUA,1 0205,MARAGUA
2 0600 MARALAL,2 0600,MARALAL
8 0113 MARIAKANI,8 0113,MARIAKANI
3 0403 MARIGAT,3 0403,MARIGAT
6 0408 MARIMA,6 0408,MARIMA
6 0215 MARIMANTI,6 0215,MARIMANTI
2 0152 OLENGURUONE,2 0152,OLENGURUONE
2 0302 OLJORO-OROK,2 0302,OLJORO-OROK
2 0303 OL-KALOU,2 0303,OL-KALOU
2 0503 OLOLULUNGA,2 0503,OLOLULUNGA
4 0221 OMOGONCHORO,4 0221,OMOGONCHORO
0 0511 ONGATA RONGAI,0 0511,ONGATA RONGAI
3 0602 ORTUM,3 0602,ORTUM
1 0106 OTHAYA,1 0106,OTHAYA
4 0222 OYUGIS,4 0222,OYUGIS
4 0111 PAP-ONDITI,4 0111,PAP-ONDITI
4 0131 PAW AKUCHE,4 0131,PAW AKUCHE
5 0410 PORT VICTORIA,5 0410,PORT VICTORIA
4 0132 RABUOR,4 0132,RABUOR
4 0604 RAGENGNI,4 0604,RAGENGNI
4 0412 RANEN,4 0412,RANEN
4 0303 RANGWE,4 0303,RANGWE
4 0403 RAPOGI,4 0403,RAPOGI
40137 RATTA,40137,RATTA
4 0133 RERU,4 0133,RERU
7 0302 RHAMU,7 0302,RHAMU
4 0511 RIGOMA,4 0511,RIGOMA
4 0512 RIOCHANDA,4 0512,RIOCHANDA
4 0220 RIOSIRI,4 0220,RIOSIRI
4 0326 RODI KOPANY,4 0326,RODI KOPANY
2 0108 RONGAI,2 0108,RONGAI
4 0404 RONGO,4 0404,RONGO
2 0204 RORET,2 0204,RORET
0 0232 RUIRU,0 0232,RUIRU
2 0321 RUMURUTI,2 0321,RUMURUTI
6 0103 RUNYENJES,6 0103,RUNYENJES
2 0313 RURII,2 0313,RURII
1 0133 RURINGU,1 0133,RURINGU
1 0208 SABA-SABA,1 0208,SABA-SABA
8 0308 SAGALLA,8 0308,SAGALLA
1 0230 SAGANA,1 0230,SAGANA
8 0120 SAMBURU,8 0120,SAMBURU
4 0405 SARE,4 0405,SARE
4 0612 SAWAGONGO,4 0612,SAWAGONGO
4 0614 SEGA,4 0614,SEGA
5 0308 SEREM,5 0308,SEREM
30407 SERETUNIN,30407,SERETUNIN
5 0106 SHIANDA,5 0106,SHIANDA
8 0407 SHIMBA HILLS,8 0407,SHIMBA HILLS
8 0409 SHIMONI,8 0409,SHIMONI
5 0107 SHINYALU,5 0107,SHINYALU
6 0104 SIAKAGO,6 0104,SIAKAGO
4 0600 SIAYA,4 0600,SIAYA
4 0605 SIDINDI,4 0605,SIDINDI
4 0635 SIGOMRE,4 0635,SIGOMRE
2 0405 SIGOR,2 0405,SIGOR
2 0422 SILIBWET,2 0422,SILIBWET
4 0308 SINDO,4 0308,SINDO
2 0423 SIONGIROI,2 0423,SIONGIROI
5 0208 SIRISIA,5 0208,SIRISIA
2 0128 SOLAI,2 0128,SOLAI
4 0109 SONDU,4 0109,SONDU
4 0110 SONGHOR,4 0110,SONGHOR
2 0205 SOSIOT,2 0205,SOSIOT
2 0406 SOTIK,2 0406,SOTIK
2 0319 SOUTH-KINANGOP,2 0319,SOUTH-KINANGOP
2 0501 KEEKOROK,2 0501,KEEKOROK
4 0413 KEHANCHA,4 0413,KEHANCHA
4 0301 KENDU BAY,4 0301,KENDU BAY
0 1020 KENOL,0 1020,KENOL
4 0211 KENYENYA,4 0211,KENYENYA
2 0200 KERICHO,2 0200,KERICHO
2 0131 KERINGET,2 0131,KERINGET
4 0202 KEROKA,4 0202,KEROKA
1 0300 KERUGOYA,1 0300,KERUGOYA
30215 KESOGON,30215,KESOGON
4 0212 KEUMBU,4 0212,KEUMBU
5 0104 KHAYEGA,5 0104,KHAYEGA
5 0135 KHWISERO,5 0135,KHWISERO
1 0122 KIAMARIGA,1 0122,KIAMARIGA
0 0900 KIAMBU,0 0900,KIAMBU
10309 KIAMUTUGU,10309,KIAMUTUGU
6 0602 KIANJAI,6 0602,KIANJAI
6 0122 KIANJOKOMA,6 0122,KIANJOKOMA
1 0301 KIANYAGA,1 0301,KIANYAGA
6 0201 KIBIRICHIA,6 0201,KIBIRICHIA
9 0137 KIBWEZI,9 0137,KIBWEZI
1 0102 KIGANJO,1 0102,KIGANJO
1 0203 KIGUMO,1 0203,KIGUMO
1 0207 KIHOYA,1 0207,KIHOYA
60207 KIIRUA,60207,KIIRUA
0 0220 KIJABE,0 0220,KIJABE
9 0125 KIKIMA,9 0125,KIKIMA
8 0410 KIKONENI,8 0410,KIKONENI
0 0902 KIKUYU,0 0902,KIKUYU
9 0305 KILALA,9 0305,KILALA
4 0700 KILGORIS,4 0700,KILGORIS
8 0108 KILIFI,8 0108,KILIFI
5 0315 KILINGILI,5 0315,KILINGILI
1 0140 KIMATHI WAY,1 0140,KIMATHI WAY
1 0310 KIMBIMBI,1 0310,KIMBIMBI
5 0204 KIMILILI,5 0204,KIMILILI
3 0209 KIMININI,3 0209,KIMININI
2 0225 KIMULOT,2 0225,KIMULOT
3 0128 KIMWARER,3 0128,KIMWARER
2 0320 KINAMBA,2 0320,KINAMBA
8 0405 KINANGO,8 0405,KINANGO
0 0227 KINARI,0 0227,KINARI
0 1031 KINDARUMA,0 1031,KINDARUMA
6 0216 KINORU,6 0216,KINORU
6 0211 KIONYO,6 0211,KIONYO
3 0103 KIPKABUS,3 0103,KIPKABUS
5 0241 KIPKARREN RIVER,5 0241,KIPKARREN RIVER
2 0202 KIPKELION,2 0202,KIPKELION
